country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","27-01-2026 09:00:00",12.920984,77.584908,NO2,6,29,18
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","27-01-2026 09:00:00",12.920984,77.584908,OZONE,5,68,46
India,Haryana,"Yamuna Nagar","Gobind Pura, Yamuna Nagar - HSPCB","27-01-2026 09:00:00",30.1480566,77.2893471,NH3,1,6,4
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","27-01-2026 09:00:00",30.943887,76.801991,PM10,69,235,157
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","27-01-2026 09:00:00",30.943887,76.801991,NO2,1,23,9
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","27-01-2026 09:00:00",30.943887,76.801991,NH3,2,3,2
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","27-01-2026 09:00:00",30.943887,76.801991,SO2,35,109,55
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","27-01-2026 09:00:00",23.80569,86.44268,SO2,22,31,28
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","27-01-2026 09:00:00",23.80569,86.44268,OZONE,1,19,1
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","27-01-2026 09:00:00",16.172806,75.659694,OZONE,11,12,12
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB","27-01-2026 09:00:00",15.888653,74.541751,PM10,14,74,47
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","27-01-2026 09:00:00",28.422681,77.148944,CO,20,72,46
